,EW5,EW6,EW8,EW9,EW10,EW14A,EW15A,EW15B,EW16A,EW16B,EW16C,EW18A,EW18B,HB1,HB2,HB3,HB4,HB5,HB6,HB7,HB8,AI1,GR9F,GR13A,GR16A,GR18A,GR18B,GR22,GR27A,MH1A,MH1E,MH2,MH4A,FP2A,URBAN2011,METRO,ID11,ID13,COPC,INCOMEPC,NPERSONS,ED2,ED4
68,2,4,1,5,4,0,1,1,0,0,0,1,1,0,,1,2,,4,4,5,1,1,0,0,0,1,1,1,1,1,1,3,0,0,0,2,2,3.0,2.0,9,0,0
69,2,3,1,1,2,0,1,2,0,1,0,1,1,1,,1,2,2,1,3,5,0,1,0,0,0,0,0,1,2,1,1,3,,0,0,2,2,2.0,2.0,3,0,0
70,2,5,1,5,4,0,1,1,0,1,0,1,1,0,,3,2,3,4,4,5,0,1,1,1,0,0,0,0,1,1,1,3,0,0,0,2,2,3.0,2.0,5,0,0
71,2,4,1,3,4,0,1,1,0,0,0,1,1,0,1,2,2,3,4,4,5,0,1,0,0,0,0,,0,2,1,1,3,0,0,0,2,2,3.0,2.0,5,0,0
72,4,3,1,1,1,0,1,1,0,0,0,1,2,1,,3,2,2,2,3,3,1,1,0,0,0,0,0,1,2,1,1,2,1,0,0,2,2,2.0,3.0,5,0,0
73,4,3,1,3,2,0,1,1,0,1,0,1,1,0,0,1,2,3,4,4,5,0,1,0,0,0,0,0,1,1,1,1,3,0,0,0,2,2,2.0,3.0,10,1,1
74,2,2,1,2,2,0,1,1,0,0,0,1,1,1,,3,3,2,1,3,5,0,1,0,0,0,0,0,1,2,1,1,2,1,0,0,2,2,3.0,2.0,9,0,0
75,2,4,1,3,4,0,1,1,0,0,0,1,1,,,1,2,3,4,4,5,0,,0,0,0,0,0,1,0,1,1,3,0,0,0,2,2,3.0,3.0,9,0,0
76,2,2,1,2,2,0,1,1,0,0,0,2,1,1,0,1,2,2,2,2,3,0,1,0,0,0,0,0,1,2,1,1,3,1,0,0,2,2,3.0,3.0,4,0,0
77,3,4,1,5,4,0,1,1,0,0,0,1,1,0,,1,2,2,3,1,1,0,1,0,0,0,0,0,0,2,1,1,3,1,0,0,2,2,3.0,2.0,8,0,0
78,2,3,1,3,3,0,1,1,0,1,0,3,2,,,1,2,2,2,2,3,0,1,0,0,0,0,0,0,2,2,1,3,1,0,0,2,2,2.0,2.0,5,0,0
79,3,2,1,2,2,0,1,2,0,1,0,16,1,0,,1,3,3,2,4,5,1,1,1,1,0,0,1,1,0,1,1,3,0,0,0,2,2,2.0,2.0,11,1,1
80,2,3,1,2,4,0,1,1,0,0,0,3,1,0,1,1,2,2,2,3,3,0,1,0,0,0,0,1,1,2,1,1,2,0,0,0,2,2,3.0,3.0,4,0,0
81,2,3,1,3,4,0,1,1,0,0,0,1,1,0,,1,2,2,4,4,,1,1,0,0,0,0,1,0,0,1,1,3,1,0,0,2,2,2.0,1.0,8,0,0
82,2,5,1,2,4,0,1,1,0,0,0,1,1,1,1,2,2,2,4,4,2,1,1,0,0,0,0,0,1,0,1,1,3,1,0,0,2,3,2.0,3.0,3,0,0
83,2,2,1,2,2,0,1,1,0,0,0,2,2,0,,1,2,2,2,2,3,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,2,,3.0,3.0,4,1,1
84,4,4,1,3,3,0,1,1,0,0,0,1,1,0,,1,2,2,4,4,3,0,1,0,0,0,0,1,1,2,1,1,2,1,0,0,2,2,2.0,3.0,8,1,1
85,2,3,1,2,2,0,1,1,0,0,0,1,1,0,,1,2,2,4,4,3,0,1,0,0,0,0,1,1,2,1,1,2,1,0,0,2,2,2.0,2.0,4,0,1
86,4,2,1,1,2,0,1,1,0,0,0,1,1,0,1,1,2,2,4,4,3,0,1,0,0,0,0,0,1,2,1,1,2,1,0,0,2,,3.0,3.0,5,0,1
87,4,4,1,3,4,0,1,1,0,1,0,3,2,0,1,1,2,2,4,3,3,0,1,0,0,0,0,0,1,1,1,1,3,1,0,0,2,2,3.0,3.0,17,1,1
88,3,3,1,2,4,0,1,1,0,0,0,1,1,0,1,3,2,,4,4,,1,1,0,0,0,0,0,1,2,1,1,3,1,0,0,2,,2.0,2.0,6,1,1
89,2,5,1,2,5,0,1,1,0,0,0,1,1,0,1,3,2,2,4,4,3,0,1,0,0,0,0,0,1,2,1,1,3,1,0,0,2,2,2.0,2.0,4,0,0
90,4,2,1,0,3,0,1,1,0,0,0,3,1,,,1,2,2,4,2,3,1,1,0,0,0,0,0,1,2,1,1,3,0,0,0,2,2,3.0,3.0,5,0,0
91,2,3,1,3,2,0,1,1,0,0,0,16,2,0,,1,2,2,4,4,3,0,1,0,0,0,0,1,1,2,1,1,2,1,0,0,2,,3.0,3.0,5,1,1
92,4,3,1,5,5,0,1,1,0,1,0,1,3,1,1,1,2,2,1,4,4,1,1,0,0,0,0,1,1,0,1,1,3,1,0,0,2,2,2.0,2.0,9,0,0
93,2,4,1,3,4,0,1,1,0,0,0,1,1,0,1,1,2,2,2,3,4,1,1,0,0,0,0,1,1,0,1,1,3,1,0,0,2,2,3.0,3.0,5,1,1
94,2,4,1,5,4,0,1,1,0,0,0,1,1,0,1,1,2,2,4,4,3,1,1,0,0,0,0,0,0,0,1,1,3,1,0,0,2,,2.0,2.0,8,1,1
95,2,5,1,7,5,0,1,1,0,0,0,1,1,0,1,2,2,2,4,4,3,0,1,0,0,0,0,0,1,0,1,1,3,1,0,0,2,2,2.0,2.0,6,0,0
96,2,2,1,3,4,0,1,1,0,0,0,1,1,0,1,1,2,2,4,4,3,1,1,0,0,0,0,1,1,0,1,1,3,1,0,0,2,2,2.0,1.0,5,1,1
97,2,4,1,5,4,0,1,1,0,0,0,1,1,0,1,1,2,2,4,4,3,0,1,0,0,0,0,0,1,0,1,1,2,1,0,0,2,2,2.0,2.0,6,0,0
98,2,3,1,3,4,0,1,1,0,0,0,2,1,0,1,2,2,2,4,4,3,1,1,0,0,0,0,0,1,0,1,1,2,1,0,0,2,2,3.0,2.0,4,1,1
99,2,5,1,6,3,0,1,1,0,0,0,1,1,0,,1,2,2,2,3,4,0,1,0,0,0,0,0,1,1,1,1,2,1,0,0,2,3,2.0,3.0,8,0,0
